prompt,tier
Structure this raw meeting notes into a clean summary: [a customer feedback transcript],2
What is the opposite of 'run'?,1
Classify this code snippet by programming paradigm.,2
What year did the French Revolution happen?,1
How many continents are there?,1
Classify this support ticket by urgency level: 'Minor UI glitch on settings page',2
What is happy spelled backwards?,1
What is the square root of 42?,1
"Design a system architecture for launch a product beta, considering scalability and cost.",3
Summarize the key differences between remote work and monoliths.,2
"Argue for or against remote work culture, considering multiple perspectives.",3
"Classify this review as positive or negative: 'This product exceeded my expectations, highly recommend!'",2
What is the square root of 15?,1
Structure this raw meeting notes into a clean summary: [a quarterly earnings report excerpt],2
"Strategize a go-to-market plan for launch a product beta, accounting for competitive risk.",3
Summarize the key differences between SQL databases and in-office work.,2
What is the opposite of 'quick'?,1
What is 15 + 9?,1
"Classify these support tickets by category: task A, task B, task C, task D",2
Reason through the root cause of scaling infrastructure costs step by step.,3
Write a persuasive essay on why universal basic income matters.,3
"Analyze the trade-offs between SQL databases and NoSQL databases, and recommend an approach for a Series A startup.",3
"Design a system architecture for set up a CI/CD pipeline, considering scalability and cost.",3
Extract and categorize the key requirements from this brief: [a customer feedback transcript],2
"Argue for or against universal basic income, considering multiple perspectives.",3
Outline a project plan for set up a CI/CD pipeline.,2
Summarize this research abstract in plain language: [a customer feedback transcript],2
Define the word 'happy'.,1
Summarize the findings from this report: [a 500-word passage about renewable energy trends],2
What is the capital of Egypt?,1
Extract and categorize the key requirements from this brief: [a quarterly earnings report excerpt],2
Critique this business plan and suggest improvements: [a quarterly earnings report excerpt],3
What is the square root of 100?,1
Judge which of these two arguments is more compelling and explain why: [a 500-word passage about renewable energy trends],3
List 3 programming languages.,1
"Summarize this customer review in one sentence: This product exceeded my expectations, highly recommend!",2
Classify this support ticket by urgency level: 'My account was charged twice and I need a refund immediately',2
Outline a lesson plan for teaching AI in education.,2
Extract and structure the key facts from this passage: [a quarterly earnings report excerpt],2
"Write a nuanced comparison of microservices vs monoliths for a technical audience, weighing trade-offs.",3
"Analyze the trade-offs between microservices and monoliths, and recommend an approach for a Series A startup.",3
Summarize this article in 3 bullet points: [a customer feedback transcript],2
Identify the key stakeholders mentioned in this document: [a quarterly earnings report excerpt],2
Summarize the key differences between SQL databases and NoSQL databases.,2
"Categorize these items into food, electronics, or clothing: laptop, banana, t-shirt, headphones, jacket",2
Extract and structure the key facts from this passage: [a customer feedback transcript],2
What is 42 + 23?,1
"Classify this email as spam or not spam: 'Hi, following up on our meeting yesterday.'",2
"Given these constraints, design an optimal solution for high customer churn: [a quarterly earnings report excerpt]",3
Synthesize insights from these conflicting reports and recommend a course of action: [a 500-word passage about renewable energy trends],3
"Recommend a hiring strategy for a startup facing scaling infrastructure costs, and justify each choice.",3
